Rk,Player,Pos,Age,Type,OTm,2017-18 Stats,WS,NTm,Terms,Notes,Player-additional
1,LeBron James,F-G,38-073,UFA,CLE,27.5 Pts 8.6 Reb 9.1 Ast,14.0,LAL,Signed 4-yr maximum salary contract ($153.31MM),,jamesle01
2,Nikola Jokić,C-F,28-022,UFA,DEN,18.5 Pts 10.7 Reb 6.1 Ast,10.7,DEN,Signed 5-yr maximum salary contract,,jokicni01
3,Kevin Durant,F-G,34-165,UFA,GSW,26.4 Pts 6.8 Reb 5.4 Ast,10.4,GSW,Signed 2-yr $61.5MM contract second year player option,,duranke01
4,Clint Capela,C,28-299,RFA,HOU,13.9 Pts 10.8 Reb 0.9 Ast,10.2,HOU,Signed 5-yr $87.5MM contract,,capelca01
5,Chris Paul,G,37-311,UFA,HOU,18.6 Pts 5.4 Reb 7.9 Ast,10.2,HOU,Signed 4-yr maximum salary contract ($159.73MM),,paulch01
6,DeAndre Jordan,C,34-235,UFA,LAC,12.0 Pts 15.2 Reb 1.5 Ast,9.4,DAL,Signed 1-yr $22.897MM contract,,jordade01
7,Paul George,F,32-315,UFA,OKC,21.9 Pts 5.7 Reb 3.3 Ast,8.9,OKC,Signed 4-yr maximum salary contract ($136.91MM),,georgpa01
8,Derrick Favors,F-C,31-241,UFA,UTA,12.3 Pts 7.2 Reb 1.3 Ast,8.0,UTA,Signed 2-yr $33.8MM contract second year guaranteed after 7/6/19,,favorde01
9,Dwight Howard,C,37-095,UFA,BRK,16.6 Pts 12.5 Reb 1.3 Ast,6.8,WAS,Signed 2-yr $10.941MM contract second year player option,,howardw01
10,Julius Randle,F-C,28-104,UFA,LAL,16.1 Pts 8.0 Reb 2.6 Ast,6.6,NOP,Signed 2-yr $17.714MM contract second year player option,,randlju01
11,J.J. Redick,G,38-262,UFA,PHI,17.1 Pts 2.5 Reb 3.0 Ast,6.6,PHI,Signed 1-yr $12.25MM contract,,redicjj01
12,Kyle Anderson,F-G,29-174,RFA,SAS,7.9 Pts 5.4 Reb 2.7 Ast,6.2,MEM,Signed 4-yr $37.156MM contract,,anderky01
13,Will Barton,G,32-066,UFA,DEN,15.7 Pts 5.0 Reb 4.1 Ast,6.2,DEN,Signed 4-yr $53MM contract fourth year player option,,bartowi01
14,Montrezl Harrell,F-C,29-046,RFA,LAC,11.0 Pts 4.0 Reb 1.0 Ast,5.5,LAC,Signed 2-yr $12MM contract,,harremo01
15,Jerami Grant,F,29-001,UFA,OKC,8.4 Pts 3.9 Reb 0.7 Ast,5.4,OKC,Signed 3-yr $27.346MM contract third year is player option,,grantje01
16,Trevor Ariza,F,37-256,UFA,HOU,11.7 Pts 4.4 Reb 1.6 Ast,5.3,PHO,Signed 1-yr $15MM contract,,arizatr01
17,Kentavious Caldwell-Pope,G,30-023,UFA,LAL,13.4 Pts 5.2 Reb 2.2 Ast,5.3,LAL,Signed 1-yr $12MM contract,,caldwke01
18,Anthony Tolliver,F-C,37-285,UFA,DET,8.9 Pts 3.1 Reb 1.1 Ast,5.3,MIN,Signed 1-yr $5.75MM contract,,tollian01
19,Ed Davis,F,33-281,UFA,POR,5.3 Pts 7.4 Reb 0.5 Ast,5.0,BRK,Signed 1-yr $4.449MM contract,,davised01
20,Dirk Nowitzki,F,44-267,UFA,DAL,12.0 Pts 5.7 Reb 1.6 Ast,4.8,DAL,Signed 1-yr $5MM contract,,nowitdi01
21,Kyle O'Quinn,F-C,32-352,UFA,NYK,7.1 Pts 6.1 Reb 2.1 Ast,4.8,IND,Signed 1-yr $4.449MM contract,,oquinky01
22,DeMarcus Cousins,C-F,32-212,UFA,NOP,25.2 Pts 12.9 Reb 5.4 Ast,4.7,GSW,Signed 1-yr $5.337MM contract,,couside01
